Fre	单词	读音	含义	备注
2	引っ越し	ひっこし	搬家	
2	運ぶ	はこぶ		
1	承知	しょうち		
2	文化	ぶんか		
1	済む	すむ		
2	踊る	おどる		
2	片付く	かたづく	收拾整齐；解决	
1	送る	おくる		
2	曲	くま		
2	黒板	こくばん		
1	研究会	けんきゅうかい		
1	必要	ひつよう		
2	動く	うごく		
2	贈り物	おくりもの		
2	戻る	もどる	返回；回到	
1	予報	よほう		
2	どうだい	怎么样；如何		
2	答う	こたう		
2	引き出し	ひきだし	抽屉	
1	運動会	うんどうかい		
1	携帯	けいたい		
1	読書	どくしょ		
2	缶詰め	かんづめ	罐头	
1	会場	かいじょう		
1	盗む	ぬすむ		
0	靴	くつ		
0	基礎	きそ		
0	通う	かよう		
0	小学生	しょうがくせい		
0	工場	こうじょう		
0	種類	しゅるい		
0	旅行	りょこう		
0	古い	ふるい		
0	手紙	てがみ		
1	説明	せつめい		
0	登る	のぼる		
0	今日	きょう		
0	体育館	たいいくかん		
0	移動	いどう		
0	体力	たいりょく		
0	手伝う	てつだう		
0	夕方	ゆうがた		
0	座る	すわる		
0	係り	かかり		
0	言葉	ことば		
0	必ず	かならず		
0	冬休み	ふゆやすみ		
0	悪い	わるい		
0	結婚	けっこん		
0	作文	さくぶん		
1	出発	しゅっぱつ		
0	昼休み	ひるやすみ		
2	具合	ぐあい		
0	夏休み	なつやすみ		
0	食堂	しょくどう		
